Country;Year;GDP (current US$);Import (current US$);Population (Thousand);Employment 15+ (%);Annual growth GDP;GDP per person employed (constant 2017 PPP $)
Denmark;2019;3,46E+11;1,79E+11;5814;59,2;1,49;114706,0952
Denmark;2020;3,55E+11;1,73E+11;5831;58,5;-1,99;113300,6011
Denmark;2021;3,98E+11;2,09E+11;5856;59,4;4,86;116444,8105
Norway;2019;4,05E+11;1,41E+11;5347;61,6;0,75;126543,4383
Norway;2020;3,62E+11;1,20E+11;5379;60,8;-0,72;126292,1838
Norway;2021;4,82E+11;1,41E+11;5408;61,9;3,88;127674,3715
Sweden;2019;5,34E+11;2,33E+11;10278;60,1;1,99;106855,5423
Sweden;2020;5,47E+11;2,15E+11;10353;58,8;-2,17;106089,6688
Sweden;2021;6,36E+11;2,62E+11;10415;58,7;5,08;110934,2291
